experiment,checkpoint_type,split,margin,embedding_dim,P,K,lr_scheduler,weight_decay,auc,eer,same_mean,same_std,diff_mean,diff_std
cnn1d_emb256_m022_P12K5_lr00005,best,test,0.22,256,12,5,,,0.963386365,0.08309999999999995,0.7131319046020508,0.2007572501897812,0.09780777245759964,0.25248634815216064
cnn1d_emb256_m022_P12K5_lr00005,best,val,0.22,256,12,5,,,0.99306658,0.03959999999999997,0.7675085067749023,0.13716265559196472,-0.0007147942087613046,0.2581833302974701
cnn1d_emb256_m025_P12K5_lr00005,best,test,0.25,256,12,5,,,0.96604105,0.07850000000000001,0.702272355556488,0.1942799836397171,0.07490000873804092,0.2568795382976532
cnn1d_emb256_m025_P12K5_lr00005,best,val,0.25,256,12,5,,,0.99368161,0.04110000000000001,0.7808360457420349,0.12706120312213898,0.03704084828495979,0.26574036478996277
cnn1d_emb384_m022_P12K5_lr00003,best,test,0.22,384,12,5,,,0.96579408,0.0756,0.6809779405593872,0.1943676620721817,0.06983652710914612,0.24073943495750427
cnn1d_emb384_m022_P12K5_lr00003,best,val,0.22,384,12,5,,,0.9939603600000001,0.03990000000000002,0.7559788823127747,0.1355014443397522,0.015863599255681038,0.24614490568637848
cnn1d_emb384_m022_P12K5_lr00005,best,test,0.22,384,12,5,,,0.966655255,0.08389999999999997,0.7041420936584473,0.18895865976810455,0.09524574130773544,0.24790313839912415
cnn1d_emb384_m022_P12K5_lr00005,best,val,0.22,384,12,5,,,0.9910677,0.0475,0.7818083763122559,0.12884557247161865,0.06394976377487183,0.267065167427063
cnn1d_emb384_m022_P12K5_lr00007,best,test,0.22,384,12,5,,,0.9660533049999999,0.07989999999999997,0.6866661906242371,0.2032579779624939,0.06126543506979942,0.23845243453979492
cnn1d_emb384_m022_P12K5_lr00007,best,val,0.22,384,12,5,,,0.99249634,0.04120000000000001,0.7746837139129639,0.13470415771007538,0.041585955768823624,0.2516884207725525
cnn1d_emb384_m025_P12K5_lr00005,best,test,0.25,384,12,5,,,0.967457945,0.07579999999999998,0.7046948075294495,0.19483208656311035,0.07916131615638733,0.24631021916866302
cnn1d_emb384_m025_P12K5_lr00005,best,val,0.25,384,12,5,,,0.99451886,0.0353,0.7629790306091309,0.1312902569770813,0.010426829569041729,0.2357974648475647
cnn1d_noise+clean_01,best,test,,192,,,,,0.9645035900000001,0.08140000000000001,0.7081822752952576,0.20155926048755646,0.07987140864133835,0.2541728615760803
cnn1d_noise+clean_01,best,test_noisy_snr10,,192,,,,,0.745267715,0.3205,0.2876354455947876,0.2714729607105255,0.04298548027873039,0.2480744570493698
cnn1d_noise+clean_01,best,test_noisy_snr15,,192,,,,,0.815133865,0.26349999999999996,0.37153908610343933,0.2575300931930542,0.04964236542582512,0.2442319095134735
cnn1d_noise+clean_01,best,val,,192,,,,,0.9931951200000001,0.04120000000000001,0.7561357617378235,0.1399630457162857,0.010768174193799496,0.24342386424541473
cnn1d_noise+clean_01,best,val_noisy_snr15,,192,,,,,0.88285415,0.1986,0.43816083669662476,0.23875956237316132,0.026995690539479256,0.23735372722148895
cnn1d_noise+clean_01,last,test_noisy_snr10,,192,,,,,0.74317378,0.3206,0.3028095066547394,0.251430481672287,0.07925692945718765,0.23002974689006805
cnn1d_noise+clean_01,last,test_noisy_snr15,,192,,,,,0.8075863350000001,0.2669,0.37590715289115906,0.24583563208580017,0.08155557513237,0.22903981804847717
cnn1d_noise+clean_01,last,val_noisy_snr15,,192,,,,,0.89248616,0.1906,0.48271504044532776,0.2203819751739502,0.07124520093202591,0.23641571402549744
